year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,のれん,jppfs_cor,Goodwill,instant,debit,false
2014,cai,bs,リース資産、無形固定資産,jppfs_cor,LeaseAssetsIA,instant,debit,false
2014,cai,bs,仕掛研究開発、無形固定資産,jppfs_cor,InProcessResearchAndDevelopmentIA,instant,debit,false
2014,cai,bs,その他の無形資産で流動資産又は投資たる資産に属しないもの、無形固定資産 [タイトル項目],jppfs_cor,OtherIntangibleAssetsIAAbstract,duration,,true
2014,cai,bs,施設利用権,jppfs_cor,RightOfUsingFacilitiesIA,instant,debit,false
2014,cai,bs,電話加入権,jppfs_cor,TelephoneSubscriptionRight,instant,debit,false
2014,cai,bs,電気供給施設利用権,jppfs_cor,RightOfUsingElectricSupplyFacilities,instant,debit,false
2014,cai,bs,電気通信施設利用権,jppfs_cor,RightOfUsingTelecommunicationFacilities,instant,debit,false
2014,cai,bs,電信電話専用施設利用権,jppfs_cor,RightOfUsingTelephoneAndTelegraphFacilities,instant,debit,false
2014,cai,bs,公共施設利用権,jppfs_cor,RightOfUsingPublicFacilities,instant,debit,false
2014,cai,bs,水道施設利用権,jppfs_cor,RightOfUsingWaterFacilities,instant,debit,false
2014,cai,bs,その他の施設利用権,jppfs_cor,RightOfUsingOtherFacilities,instant,debit,false
2014,cai,bs,工業所有権,jppfs_cor,IndustrialProperty,instant,debit,false
2014,cai,bs,借家権,jppfs_cor,HouseLeaseholdRight,instant,debit,false
2014,cai,bs,特許実施権,jppfs_cor,RightOfUsingPatent,instant,debit,false
2014,cai,bs,水利権,jppfs_cor,WaterRight,instant,debit,false
2014,cai,bs,版権,jppfs_cor,CopyrightPublishing,instant,debit,false
2014,cai,bs,著作権,jppfs_cor,Copyright,instant,debit,false
